university,universityLabel,countryLabel,cityLabel,foundingYear
http://www.wikidata.org/entity/Q546976,Университет Суррея,Великобритания,,1966-01-01T00:00:00Z
http://www.wikidata.org/entity/Q488334,Сеульский университет,Республика Корея,,1997-01-01T00:00:00Z
http://www.wikidata.org/entity/Q486999,Korea National University of Transportation,Республика Корея,,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q487613,Seoul National University of Education,Республика Корея,,1993-01-01T00:00:00Z
http://www.wikidata.org/entity/Q499911,Туринский университет,Италия,,1404-01-01T00:00:00Z
http://www.wikidata.org/entity/Q517861,El Bosque University,Колумбия,,1933-01-01T00:00:00Z
http://www.wikidata.org/entity/Q543394,LIU Post,США,,1954-01-01T00:00:00Z
http://www.wikidata.org/entity/Q487855,Jeju National University,Республика Корея,,1952-01-01T00:00:00Z
http://www.wikidata.org/entity/Q558922,Университет штата Иллинойс,США,,1857-01-01T00:00:00Z
http://www.wikidata.org/entity/Q573061,Будапештская школа бизнеса,Венгрия,,1857-01-01T00:00:00Z
http://www.wikidata.org/entity/Q487841,Kyungpook National University,Республика Корея,,1946-01-01T00:00:00Z
http://www.wikidata.org/entity/Q497488,Incheon National University,Республика Корея,,1979-01-10T00:00:00Z
http://www.wikidata.org/entity/Q494638,Gyeongguk National University,Республика Корея,,1947-01-01T00:00:00Z
http://www.wikidata.org/entity/Q550263,Университет Пирея,Греция,Пирей,1938-01-01T00:00:00Z
http://www.wikidata.org/entity/Q541548,Университет Невшателя,Швейцария,,1838-01-01T00:00:00Z
http://www.wikidata.org/entity/Q539682,Испанский автономный университет Дуранго,Мексика,,1994-01-01T00:00:00Z
http://www.wikidata.org/entity/Q482756,University of Suwon,Республика Корея,,1977-01-01T00:00:00Z
http://www.wikidata.org/entity/Q495258,Vasile Alecsandri University,Румыния,,1990-01-01T00:00:00Z
http://www.wikidata.org/entity/Q536709,Angelo State University,США,Сан-Анджело,1928-01-01T00:00:00Z
http://www.wikidata.org/entity/Q493141,Университет Ботсваны,Ботсвана,,1982-01-01T00:00:00Z
http://www.wikidata.org/entity/Q532822,Университет Сассари,Италия,,1562-01-01T00:00:00Z
http://www.wikidata.org/entity/Q482724,Hallym University,Республика Корея,,1982-01-01T00:00:00Z
http://www.wikidata.org/entity/Q539575,"Monterrey Institute of Technology and Higher Education, Morelia",Мексика,,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q521612,Университет искусств Фолькванг,Германия,,1927-01-01T00:00:00Z
http://www.wikidata.org/entity/Q569243,Universiti Brunei Darussalam,Бруней,,1985-01-01T00:00:00Z
http://www.wikidata.org/entity/Q534515,Университет Индонезии,Индонезия,,1849-01-01T00:00:00Z
http://www.wikidata.org/entity/Q482751,Университет Кёнсон,Республика Корея,,1955-01-01T00:00:00Z
http://www.wikidata.org/entity/Q497033,Университет Рази,Иран,,1972-01-01T00:00:00Z
http://www.wikidata.org/entity/Q483680,Changwon National University,Республика Корея,,1969-01-01T00:00:00Z
